,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8
1965-01-01,,,,,,,,
1965-02-01,,,,,,,,
1965-03-01,,,,,,,,
1965-04-01,,,,,,,,
1965-05-01,,,,,,,,
1965-06-01,,,,,,,,
1965-07-01,,,,,,,,
1965-08-01,,,,,,,,
1965-09-01,,,,,,,,
1965-10-01,,,,,,,,
1965-11-01,,,,,,,,
1965-12-01,,,,,,,,
1966-01-01,,,,,,,,
1966-02-01,,,,,,,,
1966-03-01,,,,,,,,
1966-04-01,,,,,,,,
1966-05-01,,,,,,,,
1966-06-01,,,,,,,,
1966-07-01,,,,,,,,
1966-08-01,,,,,,,,
1966-09-01,,,,,,,,
1966-10-01,,,,,,,,
1966-11-01,,,,,,,,
1966-12-01,,,,,,,,
1967-01-01,8.823087056144262,4.520363653740372,6.467657704044728,7.4613970536236325,4.856871486674809,6.44251503604379,6.8413473479638105,6.694696915683439
1967-02-01,8.765708537105867,4.722385821060931,6.516320711093964,7.661331558734556,4.743366339406229,6.5832214052412406,7.017274181239872,6.810865815135635
1967-03-01,8.906975776018545,3.0715867489084396,7.513180292754467,8.726409423666174,4.637030111664335,7.757726114051445,8.220240154814253,8.190070723267851
1967-04-01,9.195698154568829,1.986029199451844,7.894495508322025,9.118791006420878,6.0673301740405785,8.186299551732997,8.29916517152085,8.83249351578736
1967-05-01,8.904789920021093,4.229717474032076,7.705858173556075,9.09187105380507,7.74512026002985,8.081774967736122,8.352087142147136,8.767491293250343
1967-06-01,8.704503484886573,6.807045674198892,7.194663622244032,8.209618744884692,8.560779297924054,8.046628722837024,8.479755247293873,8.096998356253183
1967-07-01,8.371410001038116,6.154300213507797,5.824986540826517,6.732980988882684,8.53747680812323,7.479753361328734,8.115310075227985,5.358295810721559
1967-08-01,8.06514615763141,6.92996112326625,0.0,6.230231799372952,9.320382529238465,5.973594716458149,7.321008856898299,2.003252228424966
1967-09-01,8.601586331989266,7.7440939968626,6.14899887574722,6.4239619784451785,9.75033805321252,7.344741816787636,7.986952242981941,5.367874473088888
1967-10-01,8.71152809308169,7.144275676207539,8.426331019311178,8.231283048382249,9.910682052745507,8.726905313070862,8.690954198474586,8.368294008949379
1967-11-01,8.786557896323023,6.733249432628238,8.38090830080902,8.475104988803318,9.657516024972468,8.499125496981295,8.594474314930892,8.195285094184243
1967-12-01,8.803869330565433,5.691078392762616,7.804940602876786,7.988819748632797,7.825752880792471,8.0890074250651,8.249209646489296,7.431484555018544
1968-01-01,8.69927359049021,4.889375107999182,6.4686990156300075,7.597166840137924,5.0515194989797285,6.784218444734366,7.231550533173485,6.467155737141064
1968-02-01,8.963939882635216,4.105599197932766,6.501036049227216,7.771831773667093,5.491861178240072,6.7296709802028545,7.125497429841057,6.799463714745329
1968-03-01,8.768810625271101,2.961850125176237,6.522346437417119,8.24947635114229,3.1796041354387006,6.827621331656673,7.413640051151273,7.441549022464266
