,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9
1965-01-01,,,,,,,,,
1965-02-01,,,,,,,,,
1965-03-01,,,,,,,,,
1965-04-01,,,,,,,,,
1965-05-01,,,,,,,,,
1965-06-01,,,,,,,,,
1965-07-01,,,,,,,,,
1965-08-01,,,,,,,,,
1965-09-01,,,,,,,,,
1965-10-01,,,,,,,,,
1965-11-01,,,,,,,,,
1965-12-01,,,,,,,,,
1966-01-01,,,,,,,,,
1966-02-01,,,,,,,,,
1966-03-01,,,,,,,,,
1966-04-01,,,,,,,,,
1966-05-01,,,,,,,,,
1966-06-01,,,,,,,,,
1966-07-01,,,,,,,,,
1966-08-01,,,,,,,,,
1966-09-01,,,,,,,,,
1966-10-01,,,,,,,,,
1966-11-01,,,,,,,,,
1966-12-01,,,,,,,,,
1967-01-01,6.1179963176906,8.564058307370635,4.520419312974629,6.096527685976883,7.7806549852732125,5.189357297721373,7.9431940646966135,5.886600111823871,7.0791122231988055
1967-02-01,5.6047097458949695,8.215009185738534,6.630508593530121,5.833617323704621,6.714424454522628,5.472208153942225,8.201114263055574,5.7693490627229025,6.738439502445306
1967-03-01,5.867811150501186,8.197135438586146,7.5522759877077315,5.549872782856478,5.599796789836634,4.214275823919631,8.555595169064963,5.539233726476982,7.116107139238696
1967-04-01,5.6451198027789244,8.375759383563183,6.63315168790472,5.606682938962574,5.815615273063336,5.684781799743414,8.805841103652337,6.299771699291698,7.216813112524326
1967-05-01,5.267237022045171,8.584198798521438,5.097510132290954,5.031541983922192,5.976534914958901,4.709038982440619,8.702028407375701,5.866541166976281,7.43706254723725
1967-06-01,6.175570222601111,8.577183973338398,3.2058162490210176,4.076127896512409,8.018315493282868,1.8485226140997166,8.402952319016292,5.6473648392921705,7.810724018904404
1967-07-01,7.082022046219139,8.574468004238984,2.3553237443019057,2.388569955122195,7.951878345434022,0.0,7.645117017794435,5.746878937534483,7.983639261570326
1967-08-01,8.118229491281687,8.488596909324828,2.1265003738763135,4.638512969499117,7.795940250406869,4.964479959828341,7.214664416481178,6.649747514552232,8.257506593172467
1967-09-01,7.8761868520741025,8.606831933711465,2.1890430632126137,6.314902969902719,8.130597963213349,6.384561180218777,7.758870005156903,7.4133438297622805,8.557046564978936
1967-10-01,7.187086874016689,8.671071544655446,2.549772795348814,7.369511989009634,8.444458120308846,6.857498231247971,7.528966207985986,7.5700767560191675,8.476452347460029
1967-11-01,7.048342260992022,8.693000468547199,2.6127999990393946,7.11108013386353,8.352890363810307,6.459205790369829,7.795140680285171,7.017476552599989,8.284490667470086
1967-12-01,7.404393307731838,8.661592397643455,2.3275245585722506,6.696580714024305,8.217606151186652,5.631667641292575,7.902031089952894,6.253667480364633,7.948482134046135
1968-01-01,6.616898715856954,8.338768645230601,2.660132451565762,6.439413379616251,7.120524355167433,5.685807465366624,7.835870236816907,6.346797624945965,7.599477419713305
