,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,10.229284671371307,19.328934690677443,11.362765733113497,45.82374358526792,15.958510301465052,19.390213416479313,63.41594447570198,17.445549728213727,40.725734280326705,27.326064733294224,36.877161484454774,88.25193264993742
1967-02-01,9.83959930400643,19.464675792757188,11.128352324385437,44.50945280189116,15.95679908172174,19.711302700297534,57.497004735744866,17.015165862572182,40.36338768428993,27.214331673969166,36.38974781744098,73.65765613334625
1967-03-01,9.646096800290755,16.841099448266394,11.226688212348396,35.833304498174655,15.652085588179673,18.397299200890895,39.05016278971698,17.01494662027143,35.832197367330245,23.96649337472789,30.667451157914755,13.996226476168893
1967-04-01,10.120887553454317,13.884438477048697,11.522478326328878,31.047844775297285,18.731265075124053,19.84182035147986,19.42742465286494,19.12983108338063,30.044386884193685,20.172732578722698,26.456174689316004,45.66109953246301
1967-05-01,10.380192087244936,11.3097873885641,11.661689497845114,22.57270061343167,20.66217950425139,20.724167144958756,2.806532453193701,20.370220902403343,31.59104827556789,17.52306340928345,21.411145065751448,151.00575151644273
1967-06-01,10.506722981258237,9.999397794195675,11.585941047562773,8.897384109805936,22.20940065388497,23.729409387131568,26.469273788071362,21.289283009431646,28.56692074391936,22.529352657869186,17.47738843444602,190.5466084840359
1967-07-01,10.613147316993915,21.199395003195246,11.48718554897252,10.109083259203572,23.53076802477609,29.14943240849363,13.890148446799698,21.584916983124234,40.79303111575445,37.55973712572232,19.079486897601686,198.00792243023653
1967-08-01,10.593829659092464,25.16366509931003,11.421235806738117,30.436181077174993,23.38908110238191,29.132076648833028,74.38889178401644,21.335213291317867,48.29353283088471,39.775113520633155,33.22635577825373,204.27755513984508
1967-09-01,10.646792880483213,26.11731424206059,11.50139333070101,34.794987582735885,23.65672499864944,29.268994214685222,70.78680931400325,21.517984676036683,47.1561397430718,40.67783078866153,35.524316852885725,208.17955028567113
