,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11
1965-01-01,,,,,,,,,,,
1965-02-01,,,,,,,,,,,
1965-03-01,,,,,,,,,,,
1965-04-01,,,,,,,,,,,
1965-05-01,,,,,,,,,,,
1965-06-01,,,,,,,,,,,
1965-07-01,,,,,,,,,,,
1965-08-01,,,,,,,,,,,
1965-09-01,,,,,,,,,,,
1965-10-01,,,,,,,,,,,
1965-11-01,,,,,,,,,,,
1965-12-01,,,,,,,,,,,
1966-01-01,,,,,,,,,,,
1966-02-01,,,,,,,,,,,
1966-03-01,,,,,,,,,,,
1966-04-01,,,,,,,,,,,
1966-05-01,,,,,,,,,,,
1966-06-01,,,,,,,,,,,
1966-07-01,,,,,,,,,,,
1966-08-01,,,,,,,,,,,
1966-09-01,,,,,,,,,,,
1966-10-01,,,,,,,,,,,
1966-11-01,,,,,,,,,,,
1966-12-01,,,,,,,,,,,
1967-01-01,5.0349997534725786,8.45238680413078,3.419871741376341,6.048695039223958,5.346680903976124,7.423742447140819,8.268208858591974,6.486463949048881,3.3179656892494918,5.008363216377147,0.0
1967-02-01,5.079328183401272,8.610599983262917,3.256267220747123,6.833036674049788,4.6182483432206025,6.987061969645778,8.379287723368076,5.8051255809233595,3.347460430051527,7.140109187107753,0.0
1967-03-01,4.526355585481446,8.752514458947749,3.3937817020330776,6.949478315093771,5.80766155510153,7.302382003482278,8.304318053291363,6.054480669352338,4.476447513189242,8.114150311395154,3.4876460876658153
1967-04-01,3.988983712901698,8.94856469183492,3.873049566023264,7.25202125544348,5.562855034572681,7.458301595680964,8.240526051664236,6.294368689538566,4.399290282634899,7.764257449261921,4.937466978924457
1967-05-01,3.145313214834324,8.913487755553467,4.4215534306834785,6.884534120874541,6.04705327226351,7.61911130402524,7.774436730415844,6.2477245907161745,3.1007413942848197,6.568633391193353,0.0
1967-06-01,2.913817919536114,8.755291454594822,4.469129664577016,6.25715100335464,5.494606407050122,7.971321710634446,6.994555828027773,6.944134457205013,3.1062685863867907,4.851206847479764,0.0
1967-07-01,6.495958720667468,8.492327895400257,4.126589021416779,5.5287177064062325,5.606435893086229,8.011407065811222,6.3260758614679755,6.920062020750644,3.2246652768278197,2.8879267565655193,0.0
1967-08-01,7.19108470940751,8.583512359372182,3.736056912605691,5.537440406018307,3.860426531759326,8.193054577773763,6.335527884747241,7.431692443404282,5.523337949509127,2.5138997103636744,0.0
1967-09-01,7.770810630228259,8.48053252672339,3.579279611729795,4.56642331729751,4.916275284511335,8.452825852746715,6.7778316413462,7.852185931197019,5.972753199436004,2.3524853820407188,0.0
1967-10-01,7.17198638241678,8.544058868011565,3.0239972898727223,5.725212095916998,4.749645499357511,8.625910169894603,6.877342491483889,7.863821582826391,5.80417692012178,2.547377711817873,0.0
