,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10
1965-01-01,,,,,,,,,,
1965-02-01,,,,,,,,,,
1965-03-01,,,,,,,,,,
1965-04-01,,,,,,,,,,
1965-05-01,,,,,,,,,,
1965-06-01,,,,,,,,,,
1965-07-01,,,,,,,,,,
1965-08-01,,,,,,,,,,
1965-09-01,,,,,,,,,,
1965-10-01,,,,,,,,,,
1965-11-01,,,,,,,,,,
1965-12-01,,,,,,,,,,
1966-01-01,,,,,,,,,,
1966-02-01,,,,,,,,,,
1966-03-01,,,,,,,,,,
1966-04-01,,,,,,,,,,
1966-05-01,,,,,,,,,,
1966-06-01,,,,,,,,,,
1966-07-01,,,,,,,,,,
1966-08-01,,,,,,,,,,
1966-09-01,,,,,,,,,,
1966-10-01,,,,,,,,,,
1966-11-01,,,,,,,,,,
1966-12-01,,,,,,,,,,
1967-01-01,3.617961884922879,3.3431755738113806,9.007849812598693,5.625447341591763,7.7904133205463015,4.61052132625221,7.2999839722307005,9.112347124384074,3.244333038028671,5.260550240417606
1967-02-01,4.485674085279959,3.637134909453289,8.98813003240576,6.747339948846653,7.86710132512274,6.716975318599107,7.708245112502201,9.192151843253207,3.3198846380486655,6.291026692224123
1967-03-01,4.334836669798391,3.5800288969286935,8.965023880459633,6.937752852562121,7.849696080115299,7.474773133453042,7.891482231220651,9.010327044376574,3.932836642128323,6.920216028926426
1967-04-01,3.6622608688872047,3.3672814345704354,9.044629486951337,6.372684969264708,8.253561618995754,7.056828716315124,8.24046766554282,8.992842408442872,5.029207750578547,6.597938401728673
1967-05-01,4.706332013924075,3.441736320736715,9.007815912956925,5.106265369943469,8.424341084779098,5.471365804058631,8.259748189925254,8.908403103653857,5.032162318401311,6.352485604114673
1967-06-01,4.854003307361569,3.8305111864556074,8.861663817264592,5.104676429714266,8.412745300020813,2.692816258013047,7.389118861668179,8.676786595155834,4.574462253789131,5.680818349384921
1967-07-01,4.708461469643169,3.45316003523133,8.851799589897864,4.090325950256756,8.064363735797393,2.5369885754758643,6.669270256182644,8.67838301142229,5.393269860061742,3.6917916043310117
1967-08-01,4.50673197195314,3.1132368522275664,8.981487708575575,3.9376401549474904,7.261370048717551,2.0760380519251376,5.443177323836055,8.388183909159618,5.181278261289395,2.7245398358852007
1967-09-01,4.1388297802963185,3.5488204419276603,9.188528724948982,3.9246300677364987,7.177042112918873,0.0,5.539226216022666,8.628272600870984,5.388676160367387,2.875628541103778
1967-10-01,4.07526594307831,2.9667872931619104,9.093902596277857,4.64320626050907,6.836706973818167,1.8747720383159867,5.412896676720789,8.752748337738128,3.9327328712491285,2.5936174148113826
1967-11-01,3.5572289519102736,3.2176842420640335,9.140795523534845,4.882694859568676,7.7034151813725895,2.429275955803678,5.748887450061428,8.987936485252929,3.2521038532556057,2.8159200072994333
