,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7
1965-01-01,,,,,,,
1965-02-01,,,,,,,
1965-03-01,,,,,,,
1965-04-01,,,,,,,
1965-05-01,,,,,,,
1965-06-01,,,,,,,
1965-07-01,,,,,,,
1965-08-01,,,,,,,
1965-09-01,,,,,,,
1965-10-01,,,,,,,
1965-11-01,,,,,,,
1965-12-01,,,,,,,
1966-01-01,,,,,,,
1966-02-01,,,,,,,
1966-03-01,,,,,,,
1966-04-01,,,,,,,
1966-05-01,,,,,,,
1966-06-01,,,,,,,
1966-07-01,,,,,,,
1966-08-01,,,,,,,
1966-09-01,,,,,,,
1966-10-01,,,,,,,
1966-11-01,,,,,,,
1966-12-01,,,,,,,
1967-01-01,8.842108822994595,3.494457917107975,6.451596348661974,3.419871741376341,7.443574713874452,8.709688348500027,8.338445344048587
1967-02-01,8.734205819801128,4.058623440799175,6.916192345182209,3.256267220747123,7.778248467912125,8.712311838110375,8.453457965362723
1967-03-01,8.821778051641456,4.212224639809066,7.17178519664884,3.3937817020330776,7.72728186324507,8.742745834713997,8.443878063550617
1967-04-01,8.940372407996254,5.458103613411745,6.789749908727939,3.873049566023264,7.809725877200445,8.758258610284416,8.321643332853201
1967-05-01,8.870330108202817,5.883363044856254,6.07877456595937,4.4215534306834785,7.043474763066792,8.804407810195109,7.954839442724607
1967-06-01,8.1041811307523,5.007081691707759,5.696142715123813,4.469129664577016,6.47666224152519,8.688747911178943,7.024443049321963
1967-07-01,7.633105023648495,4.768538134723496,5.232951122672024,4.126589021416779,5.762726524772775,8.539162451546488,6.417783928557388
1967-08-01,7.201301138613719,4.6671364278603455,5.335362655859035,3.736056912605691,5.588171317403797,8.468463144977909,6.313460180039442
1967-09-01,7.208315165541211,3.884562936940024,4.5279438960642695,3.579279611729795,4.8902846195079315,8.452656113322229,6.051259712487057
1967-10-01,7.678080735213698,3.9729841897436544,4.524299160261524,3.0239972898727223,6.003409388121801,8.443143994943174,7.065164850179379
1967-11-01,8.227529888088972,4.063344607136824,5.842016601774969,2.939315410122261,6.141863219745009,8.535644944939252,7.5871704622885945
1967-12-01,8.717171986065829,4.239833979091296,5.6786621617518405,2.876841132488784,6.65296006000835,8.565981286749437,8.050511423116633
1968-01-01,8.681340011393875,3.688961972032992,5.8295012175145136,2.66737208984224,6.953860621960298,8.52569949928885,8.021293789575802
1968-02-01,8.75257799890483,3.846369965827252,6.210097775162033,2.6267906808200654,7.477386266318186,8.697612718586711,8.473420393088784
1968-03-01,8.817058874675816,5.110011684209476,6.145407490834017,3.14527206393867,7.117038962717329,8.5561661326991,8.153699534952073
1968-04-01,9.120551935698364,4.669248821950349,6.31039377804064,3.7953352682598496,7.758387643662035,8.855151598998177,8.520305456167277
1968-05-01,9.090851360587598,4.979957249371518,6.135970333440596,4.523453886863041,7.655385117740725,8.8071074071941,8.113914163682075
