,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7
1965-01-01,,,,,,,
1965-02-01,,,,,,,
1965-03-01,,,,,,,
1965-04-01,,,,,,,
1965-05-01,,,,,,,
1965-06-01,,,,,,,
1965-07-01,,,,,,,
1965-08-01,,,,,,,
1965-09-01,,,,,,,
1965-10-01,,,,,,,
1965-11-01,,,,,,,
1965-12-01,,,,,,,
1966-01-01,,,,,,,
1966-02-01,,,,,,,
1966-03-01,,,,,,,
1966-04-01,,,,,,,
1966-05-01,,,,,,,
1966-06-01,,,,,,,
1966-07-01,,,,,,,
1966-08-01,,,,,,,
1966-09-01,,,,,,,
1966-10-01,,,,,,,
1966-11-01,,,,,,,
1966-12-01,,,,,,,
1967-01-01,5.134401669055863,4.978544981062384,8.671728715123757,6.614681083321943,8.134068178946803,8.919442922281265,6.187405917114951
1967-02-01,5.26213978424927,5.241670850114133,8.480159440313352,6.45178124273373,7.873697156558405,8.972480017042805,5.782333086602654
1967-03-01,4.5798388220266295,4.314827863993487,8.013779636268806,5.626174288235892,8.03405213303147,8.863944622604672,4.900679998398254
1967-04-01,4.223861139019361,4.008395557790878,8.141652526272406,4.356128777370115,8.865115051514756,8.884250610597796,3.9258553397251474
1967-05-01,3.129574419949696,3.1515499680773176,8.288929870594153,4.063502404098528,9.100073007656851,9.072534411980405,2.2128293218220954
1967-06-01,5.105879315706094,2.3520419209507777,8.614949085640704,3.050601367123633,8.797957156662642,8.982135267041938,0.0
1967-07-01,7.573810042518819,5.137457061111681,8.633236571531377,6.269352673184964,8.59346434661671,9.108949931160481,0.0
1967-08-01,7.598929547199954,7.055810083525567,8.685208040490231,7.782519016288745,8.407181772589652,9.115322979874284,3.4069024232476806
1967-09-01,8.174221023209139,7.023343728369975,8.673260445895624,7.184153633321025,8.586481552920267,9.166526505342155,3.877448346319993
1967-10-01,7.727861130430493,6.232253218782379,8.689029061043376,6.70837476569079,8.893740574566564,9.171830981047536,4.931013305933812
1967-11-01,6.90678168663913,6.785628122464957,8.72845107375885,6.618985579612213,8.929957825983966,9.076971740050944,5.681274107820826
1967-12-01,5.062565250886998,5.45184392064201,8.503606124528678,6.748262978495299,8.485159818176033,9.000809388114455,5.592082624388589
1968-01-01,5.369745007923593,6.041793920905183,8.613716858032564,6.469576077373471,8.088658968425374,8.849264687918012,6.356155092864212
1968-02-01,5.113055972413221,6.339817729917963,7.629149730764081,6.532729207638603,8.057902887986618,8.856214525451788,6.468228433784806
1968-03-01,3.371147226597066,3.314670120365172,7.976883440866472,4.905007378325175,8.338836992582706,8.669888548546938,3.8609013807690276
1968-04-01,3.833466699965985,3.2879985545350032,8.212826887194389,4.5192130896892415,8.984398327732743,8.892996454625102,3.0597318102032687
1968-05-01,4.053687782557774,3.1827745084427828,8.356694607888397,4.041400654767591,9.072851926168822,8.892888762585343,3.1042122125087146
