,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10
1965-01-01,,,,,,,,,,
1965-02-01,,,,,,,,,,
1965-03-01,,,,,,,,,,
1965-04-01,,,,,,,,,,
1965-05-01,,,,,,,,,,
1965-06-01,,,,,,,,,,
1965-07-01,,,,,,,,,,
1965-08-01,,,,,,,,,,
1965-09-01,,,,,,,,,,
1965-10-01,,,,,,,,,,
1965-11-01,,,,,,,,,,
1965-12-01,,,,,,,,,,
1966-01-01,,,,,,,,,,
1966-02-01,,,,,,,,,,
1966-03-01,,,,,,,,,,
1966-04-01,,,,,,,,,,
1966-05-01,,,,,,,,,,
1966-06-01,,,,,,,,,,
1966-07-01,,,,,,,,,,
1966-08-01,,,,,,,,,,
1966-09-01,,,,,,,,,,
1966-10-01,,,,,,,,,,
1966-11-01,,,,,,,,,,
1966-12-01,,,,,,,,,,
1967-01-01,5.648328506396454,6.731707138095886,5.927580128746633,5.102728399931306,8.919442922281265,8.134068178946803,6.511585737330859,4.978544981062384,6.038049464303388,8.440312365942884
1967-02-01,5.929170248307951,6.6413794734337674,5.896111147951558,5.065779423926812,8.972480017042805,7.873697156558405,6.395226759428866,5.241670850114133,5.869037451983649,8.348241318841215
1967-03-01,5.252326361738852,5.871454865002367,5.733510500344818,3.759849164634468,8.863944622604672,8.03405213303147,4.9758693593901375,4.314827863993487,5.43328499053763,7.8262214261602265
1967-04-01,5.632061927817521,4.832124507899409,6.3427767995335405,3.293537422433094,8.884250610597796,8.865115051514756,4.4958308658104515,4.008395557790878,4.3716058631504096,7.998029455775997
1967-05-01,6.300705966788044,5.565999351261121,6.644819502971447,2.7611914750387005,9.072534411980405,9.100073007656851,3.215507503543151,3.1515499680773176,3.1413900121524563,8.127714277064138
1967-06-01,5.926830775233339,5.975238089877585,7.9590339700476065,1.9178586060830216,8.982135267041938,8.797957156662642,2.435430185861651,2.3520419209507777,2.4102103883061012,8.291352263803955
1967-07-01,7.708516407840279,6.522867860019253,8.296853380062876,2.1886347281787,9.108949931160481,8.59346434661671,1.9613546986920847,5.137457061111681,6.279241642790554,8.437136514215558
1967-08-01,8.24142003195167,7.5723740719568395,7.970195386913882,4.707178442316742,9.115322979874284,8.407181772589652,4.495039932065234,7.055810083525567,7.064166919261539,8.60081382188265
1967-09-01,8.459942683612816,8.108815081809897,8.221769493895934,5.041120819508057,9.166526505342155,8.586481552920267,5.284042021133226,7.023343728369975,7.012460119582162,8.465275329249833
1967-10-01,7.2418714157173705,7.277045668745198,8.440980929698139,4.163501454337755,9.171830981047536,8.893740574566564,5.110357322529738,6.232253218782379,7.081516487711432,8.653997975413574
1967-11-01,6.690274234091516,6.8775364268074854,7.545013372575168,5.302076435967831,9.076971740050944,8.929957825983966,6.473396638612886,6.785628122464957,7.016000450846612,8.809543002189455
