,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11
1965-01-01,,,,,,,,,,,
1965-02-01,,,,,,,,,,,
1965-03-01,,,,,,,,,,,
1965-04-01,,,,,,,,,,,
1965-05-01,,,,,,,,,,,
1965-06-01,,,,,,,,,,,
1965-07-01,,,,,,,,,,,
1965-08-01,,,,,,,,,,,
1965-09-01,,,,,,,,,,,
1965-10-01,,,,,,,,,,,
1965-11-01,,,,,,,,,,,
1965-12-01,,,,,,,,,,,
1966-01-01,,,,,,,,,,,
1966-02-01,,,,,,,,,,,
1966-03-01,,,,,,,,,,,
1966-04-01,,,,,,,,,,,
1966-05-01,,,,,,,,,,,
1966-06-01,,,,,,,,,,,
1966-07-01,,,,,,,,,,,
1966-08-01,,,,,,,,,,,
1966-09-01,,,,,,,,,,,
1966-10-01,,,,,,,,,,,
1966-11-01,,,,,,,,,,,
1966-12-01,,,,,,,,,,,
1967-01-01,8.564058307370635,6.828772421800173,4.86280875315136,8.063453986427279,6.053808452725585,5.3219851934925035,6.575569417963661,4.520419312974629,8.869683290699312,7.9431940646966135,6.507976764379582
1967-02-01,8.215009185738534,6.016818463261521,4.743691808801769,7.7522211851063805,4.9992299846983865,5.761021277462891,6.146906158557092,6.630508593530121,9.107318323916058,8.201114263055574,5.932865083764771
1967-03-01,8.197135438586146,5.3090488687748785,3.144543535393371,7.9529266123132,5.158962592891998,4.5018824884493664,5.645753380816556,7.5522759877077315,8.839094593926196,8.555595169064963,6.015623416970745
1967-04-01,8.375759383563183,5.992877008667178,5.511014888805805,8.098095670354079,5.139269765266267,5.6691405700004145,5.795041011182219,6.63315168790472,8.977321550944373,8.805841103652337,6.289019284009781
1967-05-01,8.584198798521438,5.710209865137228,4.4506619785104276,8.239514328016,5.0776222095002215,4.292883098206822,5.467445709317459,5.097510132290954,8.545460301771623,8.702028407375701,6.071780977981864
1967-06-01,8.577183973338398,6.794014933703454,3.674631157192365,8.491031494907071,6.129973408107501,0.0,5.083218672171286,3.2058162490210176,8.036530918370923,8.402952319016292,6.632956697280013
1967-07-01,8.574468004238984,7.838194212410196,4.997961058476054,8.588436837139511,7.120646692088281,0.0,4.920578333677187,2.3553237443019057,6.59909873247212,7.645117017794435,6.641319430179928
1967-08-01,8.488596909324828,7.809516381607516,6.166010435564842,8.722569008706449,8.204880434591711,0.0,5.500321977752896,2.1265003738763135,6.049239798922764,7.214664416481178,7.139673218198697
1967-09-01,8.606831933711465,8.248968472500117,6.408815763682927,8.67295414032832,7.90089593643109,5.629294965839223,6.674856903588521,2.1890430632126137,7.048175406474523,7.758870005156903,7.727202032202936
1967-10-01,8.671071544655446,8.163908188912156,6.3499526079962365,8.798810360962474,7.102154713417822,6.637823330031588,7.703191181755183,2.549772795348814,7.728815511784478,7.528966207985986,7.855753003358233
