,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,8.842108822994595,3.347012101773485,7.253565191407488,3.708453225550091,8.338445344048587,3.328195431825593,7.362765861087995,5.715654341538824,8.709688348500027,2.5655798138305297,4.684498256453833,3.0517069222084303
1967-02-01,8.734205819801128,3.689260162613843,7.735335424295085,4.416638472365424,8.453457965362723,3.5822943212727085,7.730897697853888,6.691148797136685,8.712311838110375,2.5064385952990893,6.349490347298516,3.339590874068145
1967-03-01,8.821778051641456,3.5206572749900626,7.763326865900943,4.865350574284549,8.443878063550617,3.2596053826431235,7.586504887145371,6.667974455852179,8.742745834713997,3.1508310485904127,7.151752560686718,4.949004967607839
1967-04-01,8.940372407996254,4.2363345342620615,7.810624379198796,5.528364168270809,8.321643332853201,3.9550693236810996,7.242500508861284,6.519032177242933,8.758258610284416,2.528218853563209,7.623319675551304,5.561338771440558
1967-05-01,8.870330108202817,4.035599792585108,7.269182250539158,5.892838185415175,7.954839442724607,3.6462756728926466,6.474627584828625,6.018855498702479,8.804407810195109,5.243647836773488,7.840829942227985,5.7816945532485455
1967-06-01,8.1041811307523,3.839612093420314,6.609595307768349,5.400358371568169,7.024443049321963,3.753072993780339,6.040791489834219,5.3567849163871575,8.688747911178943,4.624769665469525,7.1575696820924195,4.990420952450478
1967-07-01,7.633105023648495,5.05904197080302,6.081382265159635,4.39215846345869,6.417783928557388,4.46048739090982,5.2236250970898634,5.1201120875172075,8.539162451546488,4.980846226915938,6.651864403505767,5.38035541766505
1967-08-01,7.201301138613719,4.603044448972349,5.84408730606683,4.050242609600648,6.313460180039442,4.276156402415377,5.364345597927658,5.106103489526043,8.468463144977909,4.646568743103687,5.65223550720943,5.003093462891093
1967-09-01,7.208315165541211,3.5046131564600946,5.203152833323219,4.009453670161165,6.051259712487057,3.2983760170987004,4.633074739348216,4.015829199784346,8.452656113322229,3.34989941732882,5.055087191042881,4.0716364176365945
