,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11
1965-01-01,,,,,,,,,,,
1965-02-01,,,,,,,,,,,
1965-03-01,,,,,,,,,,,
1965-04-01,,,,,,,,,,,
1965-05-01,,,,,,,,,,,
1965-06-01,,,,,,,,,,,
1965-07-01,,,,,,,,,,,
1965-08-01,,,,,,,,,,,
1965-09-01,,,,,,,,,,,
1965-10-01,,,,,,,,,,,
1965-11-01,,,,,,,,,,,
1965-12-01,,,,,,,,,,,
1966-01-01,,,,,,,,,,,
1966-02-01,,,,,,,,,,,
1966-03-01,,,,,,,,,,,
1966-04-01,,,,,,,,,,,
1966-05-01,,,,,,,,,,,
1966-06-01,,,,,,,,,,,
1966-07-01,,,,,,,,,,,
1966-08-01,,,,,,,,,,,
1966-09-01,,,,,,,,,,,
1966-10-01,,,,,,,,,,,
1966-11-01,,,,,,,,,,,
1966-12-01,,,,,,,,,,,
1967-01-01,8.968019292331585,5.142401101926092,7.331499695438096,6.331213112793642,10.203177517046552,6.00548826377618,10.222006337751607,11.576375708421468,7.085833728186135,7.170534828837773,12.986924436090007
1967-02-01,8.83548292915942,5.885902037146205,7.592962198067665,6.421994807591396,10.521199147318791,6.324120139923892,10.352890037282837,15.875137125060187,7.0506211197659585,6.978045541333804,13.949076176477524
1967-03-01,7.925866279517129,5.938936732063378,7.879427023779865,6.869092039941328,10.781220283741193,6.744289230618352,10.233900177971154,16.49900932154714,7.149518506814945,5.710692485625225,13.762528196035975
1967-04-01,6.547057587470574,5.940283752032022,7.673601887420693,7.010169544941834,11.569326360357524,7.325113160614124,10.159369773586432,14.87461000247778,7.3285197769719375,6.807472602485543,13.928216214712847
1967-05-01,5.50639168092667,6.002147041558492,7.813582776796937,6.84198566005002,11.650472862650789,7.306166561624575,9.84254953893345,12.031622257229953,7.37731171981056,4.993027345861897,12.321468790281953
1967-06-01,4.720178212457311,5.426421312002697,7.809926011228167,6.5934035903075054,11.31432524866282,6.703070465825457,10.11705412760356,10.062478360582286,7.268031039053686,4.415599555397227,9.30928394485061
1967-07-01,9.020673712560074,4.477288044101882,7.624258574025774,6.533718843943009,10.713015603221162,6.153335813160559,10.174961955099363,6.588140983510594,7.160327516817903,4.614789762678115,6.570550299744235
1967-08-01,11.286009973844708,3.8211670605103962,7.477880768658477,6.317175278839802,9.358005503242506,5.70047478746589,10.893308972832525,5.131937572154674,7.008920729641524,6.659889043640534,5.726445817084302
1967-09-01,11.356878616266798,4.233476679296893,7.240470522083177,6.300971268141121,9.31343255192794,4.4818550494647935,11.472532573600976,4.740454664616074,7.0936447959745434,8.5133142299627,6.280919288772697
1967-10-01,10.616227769616271,3.9250694822463106,7.388505384102416,6.210078289598943,8.766777200721567,5.153443271290524,11.379625119319714,4.995737728232912,7.189634756196208,9.445057284822783,7.380607889071523
