,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,4.982457608957802,14.417366872495599,12.912775053863541,13.532889874430216,10.00214083826341,6.143594310955704,17.213654840231996,9.06870012219989,4.737565451070547,18.11622965116527,5.231151169858479,20.72715111612673
1967-02-01,4.841881213399469,14.508881189708507,13.449577284616185,18.822990964811215,10.758138861793121,7.881356465652437,25.126668825539372,9.046448194633765,5.361847298516777,20.64233587491701,6.291433343390701,21.143570588042593
1967-03-01,5.917991859257512,14.610943410660209,13.443247289245889,19.897197299566805,11.11065716187852,7.839262111523793,22.585159574593476,9.081898118975648,5.569091077492065,22.394446566266446,5.977817713035796,21.450502062041746
1967-04-01,5.837298435313532,14.389815978675246,12.717799849060333,18.919360793354112,10.745491063041042,7.690236538467524,14.944689547466734,9.153673615910563,5.583194535290281,23.37669641509673,0.0,22.68761072101278
1967-05-01,6.586830358900422,14.080965367748448,12.053834655802738,15.19928702176889,10.575799475744656,7.500465387796039,10.348919844751972,9.16609622537644,6.029087101707266,22.785208752556244,0.0,23.265216455264813
1967-06-01,6.161896935509606,13.107149107248603,11.028637693798624,11.682433818375424,9.356440963702928,6.631371160005194,14.687877808841412,8.990691886804752,6.371423077827481,20.22709699054492,14.783664456826388,22.538896144758336
1967-07-01,6.5807350982956105,12.088891506978321,10.423266781790499,7.663896551770945,9.141397313366934,5.5383572663090925,6.236682703591247,8.854389239860717,5.836218246948025,16.704661270748563,0.0,21.528886885274172
1967-08-01,5.862919457423984,12.017200739169496,9.764244320008254,6.523050387838876,8.277010906350164,5.489383076548995,0.0,8.700287985609323,5.677357973229774,11.37066448193637,4.066055507164801,19.177076143755286
1967-09-01,6.027419787804922,12.258746203079598,9.877030223107099,6.032361610463922,8.464697806698085,5.513408080324661,1.7402035774210605,8.833564949183948,5.389963986751893,11.263174825207834,4.465151639255761,19.157860939208348
