,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7
1965-01-01,,,,,,,
1965-02-01,,,,,,,
1965-03-01,,,,,,,
1965-04-01,,,,,,,
1965-05-01,,,,,,,
1965-06-01,,,,,,,
1965-07-01,,,,,,,
1965-08-01,,,,,,,
1965-09-01,,,,,,,
1965-10-01,,,,,,,
1965-11-01,,,,,,,
1965-12-01,,,,,,,
1966-01-01,,,,,,,
1966-02-01,,,,,,,
1966-03-01,,,,,,,
1966-04-01,,,,,,,
1966-05-01,,,,,,,
1966-06-01,,,,,,,
1966-07-01,,,,,,,
1966-08-01,,,,,,,
1966-09-01,,,,,,,
1966-10-01,,,,,,,
1966-11-01,,,,,,,
1966-12-01,,,,,,,
1967-01-01,9.91005283591107,21.846757280400837,28.248271919976936,15.089148653186276,10.838035855323787,71.67607101434649,13.173907539988546
1967-02-01,9.556300891175061,23.32191954859936,27.371617035407347,12.777404040218494,10.720572065493151,97.15699608101443,11.609895427539096
1967-03-01,9.861991167028647,16.753161145959094,25.41825272563515,10.485312832869706,10.603130663440732,98.02654916201955,10.670677051591149
1967-04-01,9.962325771755904,23.467467957029662,26.945219074639926,11.390813005346775,10.947625566434816,87.07679309266317,12.275946671903135
1967-05-01,10.322005758657502,17.43826356154629,22.948435559887805,11.018622475842944,10.71407027691457,47.7152182354498,12.164458976049271
1967-06-01,11.08635001381556,7.450943913982927,17.600160129364355,13.90986787524136,10.230585328241917,49.702290989809285,13.1357583357788
1967-07-01,11.692801468360676,6.263660362911197,13.21476101018556,15.93381777550906,9.600683934060577,35.67647687423398,14.365616756287505
1967-08-01,12.112107532069206,13.467788927335373,22.69159939013356,16.802220776864278,9.543458144256922,33.397087784742176,16.30927512912198
1967-09-01,12.250817748032894,23.4203826661506,30.923495386488742,17.882299946593537,10.058136117902992,30.874855556636344,17.19272744625345
1967-10-01,12.184640811636328,28.154484808011905,34.83599816443303,18.257743652273515,10.417217314125185,37.60895261840293,16.124065873669107
1967-11-01,11.614091986632848,27.738073941025114,33.814476732562646,17.344385154065442,10.670231450326739,44.04480808337686,14.944444122579966
1967-12-01,10.953143053710788,23.904481171899583,31.05443389579933,16.19928127723637,10.750865949875692,42.04861196336047,14.125322091974379
1968-01-01,10.688570232846414,22.87982904434897,30.325005106355086,13.806626509475375,10.730276081871265,48.301097860382974,13.619703007645787
1968-02-01,9.806616876902602,22.631698089819178,27.72849891780475,12.413033324505559,10.54972379053952,87.28263964511869,13.1331279764273
1968-03-01,9.372779430833619,22.343444805435855,24.280468316941185,10.41214566759284,10.682414833436432,85.34224403916099,12.507391831151313
1968-04-01,9.843178156471266,16.967746090045402,22.818854970051074,10.214587829016084,10.955890449461851,71.82636390791549,11.820656111047438
1968-05-01,10.243971797754115,12.956698227499384,18.933790739260626,11.377182577940472,10.975039014676826,35.78517903333065,10.980992184857776
