,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,6.065426268514608,8.569317265584992,5.3219851934925035,5.4044258104553355,8.057905600017035,7.118885316060997,7.015431493414111,1.959390811164007,5.42155677028728,5.554069254569633,0.0,8.443917553461093
1967-02-01,5.842716443824178,8.3359438874555,5.761021277462891,5.652150429917569,7.5580136586566615,6.61752067570946,6.299259535444528,0.0,6.968556458302453,5.251759321633786,2.438803601917715,8.73517708705612
1967-03-01,6.240261878220859,8.438066299557363,4.5018824884493664,4.791131363917309,7.726410228417131,6.728269177666143,5.568160351945063,0.0,6.935308014980021,5.087614134135106,0.0,8.663868796953318
1967-04-01,5.607223671250513,8.596723138708036,5.6691405700004145,5.927568505473056,8.025596767517477,7.268035055483806,6.118148088890193,0.0,6.3657085898011605,5.883722432498111,2.8409617120232338,8.728873195338485
1967-05-01,5.3494844217454,8.632018478960914,4.292883098206822,5.074445440376061,8.32830464871273,7.388657327966091,6.058567876448179,0.0,3.2987654456669078,5.729897754197081,0.0,7.986917724712227
1967-06-01,5.98066955193332,8.406745186964114,0.0,3.992220028775411,8.224498458985371,7.7922521513411755,5.878552101326184,6.5692020838238205,2.7604890015103054,5.9670753584470955,0.0,6.800842526054516
1967-07-01,7.723453176379151,8.106287810667745,0.0,4.257733170777961,8.39672679052857,7.699345250687431,5.741135929463428,8.1531124697319,2.4349440315478237,5.94753153251005,0.0,5.7957865215412445
1967-08-01,8.21297215298414,7.6757174384024776,0.0,5.823059137316222,8.428716513690874,7.967415931283055,6.062162344449116,8.430374476486227,2.695368092636297,7.029585308384681,0.0,5.6672433038348276
1967-09-01,8.035197770682776,7.7327677435190285,5.629294965839223,6.729112200807105,8.382775522670505,8.188816778032042,6.971752808233737,8.449654685350596,2.4052419492112325,7.561170493114931,0.0,6.1543391785368105
