,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10
1965-01-01,,,,,,,,,,
1965-02-01,,,,,,,,,,
1965-03-01,,,,,,,,,,
1965-04-01,,,,,,,,,,
1965-05-01,,,,,,,,,,
1965-06-01,,,,,,,,,,
1965-07-01,,,,,,,,,,
1965-08-01,,,,,,,,,,
1965-09-01,,,,,,,,,,
1965-10-01,,,,,,,,,,
1965-11-01,,,,,,,,,,
1965-12-01,,,,,,,,,,
1966-01-01,,,,,,,,,,
1966-02-01,,,,,,,,,,
1966-03-01,,,,,,,,,,
1966-04-01,,,,,,,,,,
1966-05-01,,,,,,,,,,
1966-06-01,,,,,,,,,,
1966-07-01,,,,,,,,,,
1966-08-01,,,,,,,,,,
1966-09-01,,,,,,,,,,
1966-10-01,,,,,,,,,,
1966-11-01,,,,,,,,,,
1966-12-01,,,,,,,,,,
1967-01-01,4.997777245847594,9.225288745534181,5.467225349768295,2.304614350438511,3.979278091710757,8.675350588449147,6.664890716885294,7.602702240588624,5.949130023752719,7.0071642287581035
1967-02-01,5.589332524910919,9.128296259807664,5.343662196624488,2.9249281323221954,4.213681124414992,8.791342179547991,8.451874635997553,8.052994518165562,5.598038179800138,6.80542964536524
1967-03-01,6.02497709024944,9.192132373354296,4.717137955260469,3.1918866162569213,4.69570765508239,8.933965026017102,8.879605981940056,8.171070611509352,5.222635192926034,6.799327283461463
1967-04-01,6.066485145868759,9.403646358294024,4.564945708393484,3.3563562655937385,4.982692929078042,9.013914736693986,8.726408120378544,8.070195483319528,4.991057726252685,7.113637212831059
1967-05-01,6.128703243036152,9.418792881940444,3.5659799375354244,1.2684065724204567,5.41423633795817,8.76609073984542,7.463893549128849,7.700526332075875,4.835795661857508,7.386399125949586
1967-06-01,5.59522959962874,9.252309403867438,2.9908039575631453,1.7955973404416854,5.2383725672329104,8.051704080204575,5.640015526497421,6.8903717728735945,5.6625045670071925,7.781273520100818
1967-07-01,5.30117896018654,9.050303060810302,3.8521780656829683,0.7181454710450049,5.264805118647587,7.27776855471792,3.8676159387576408,6.249747424410107,6.882695188158274,7.997742379045203
1967-08-01,4.788554488385789,8.8801047581671,6.040653597732864,0.5850296616016303,5.021772832329654,6.884372425282805,2.9080755617024026,5.607574374341649,7.599102458561239,8.157661196483197
1967-09-01,4.62639623238143,9.025939399271245,6.681113151216935,0.9334171107204063,4.569443122677505,7.0840333551760954,2.5820259822709333,5.6286343582469724,7.883303817805503,8.36076466972731
1967-10-01,4.4816014628752905,9.135586632499084,6.6402966660689655,1.0003124109139103,4.12077926825389,7.6502546649309116,3.000184146819129,5.998390770863255,7.714091167690884,8.397026198440392
1967-11-01,4.588493787047844,9.301947821188906,6.744657646175335,1.9550803990346568,4.021829217694442,8.139416164762814,3.560162939606996,6.480466646758442,7.308142114198541,8.135833829149492
