,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11
1965-01-01,,,,,,,,,,,
1965-02-01,,,,,,,,,,,
1965-03-01,,,,,,,,,,,
1965-04-01,,,,,,,,,,,
1965-05-01,,,,,,,,,,,
1965-06-01,,,,,,,,,,,
1965-07-01,,,,,,,,,,,
1965-08-01,,,,,,,,,,,
1965-09-01,,,,,,,,,,,
1965-10-01,,,,,,,,,,,
1965-11-01,,,,,,,,,,,
1965-12-01,,,,,,,,,,,
1966-01-01,,,,,,,,,,,
1966-02-01,,,,,,,,,,,
1966-03-01,,,,,,,,,,,
1966-04-01,,,,,,,,,,,
1966-05-01,,,,,,,,,,,
1966-06-01,,,,,,,,,,,
1966-07-01,,,,,,,,,,,
1966-08-01,,,,,,,,,,,
1966-09-01,,,,,,,,,,,
1966-10-01,,,,,,,,,,,
1966-11-01,,,,,,,,,,,
1966-12-01,,,,,,,,,,,
1967-01-01,8.655261915882152,6.833168895896038,5.254509784210124,5.407066678486981,5.291346792162594,9.026438692944236,4.692521091146808,7.876600479895416,6.340554867298413,6.511585737330859,6.653222244054978
1967-02-01,8.583847429559047,6.66736673047509,5.490770043112766,5.882861616558143,5.363399018326792,8.921287709216852,4.863905228341831,7.645495184023628,5.604223564359982,6.395226759428866,6.516205669308564
1967-03-01,8.40973740467199,5.934181480728841,5.104975840245906,5.739226219891975,4.743388814685357,8.97464781436687,4.497577690380273,7.1039053182745375,4.02269527957834,4.9758693593901375,7.173868259697088
1967-04-01,8.474854539479058,5.136786836757735,5.691694056817165,6.356809891210505,4.41726296825559,9.094440802854155,3.881890343724471,7.582906790105008,2.365582513124205,4.4958308658104515,8.346651576528288
1967-05-01,8.388965357730816,5.657743381551876,5.098130697343158,7.2508368351460755,3.100199123394645,9.181379618302774,3.6433155958364636,7.704283789153444,0.0,3.215507503543151,8.54869789761055
1967-06-01,8.427160671644833,5.019352299533938,6.9493123236814185,7.114369419143271,3.137131036216228,9.064633627455478,2.7656914127084993,8.27401035281271,3.4859826848153608,2.435430185861651,8.197408668649109
1967-07-01,8.67825640462491,6.6420200211567835,8.297925788629788,8.126829446050989,6.859192419128219,9.047770595670503,3.414103149390228,8.433694533750382,0.0,1.9613546986920847,8.294654407988697
1967-08-01,8.961380049622969,7.8811805628129425,7.8728478917930325,8.453154251417514,7.348518684931653,8.956314286714695,5.831403092465006,8.31624995660839,6.914826038066716,4.495039932065234,7.885113915747341
1967-09-01,8.957536357193057,7.359527794189336,8.192264937313544,8.759979642069736,7.891787934205527,9.033736343149608,5.604436932027185,8.341552437515992,6.2068334939847665,5.284042021133226,8.260520562697385
1967-10-01,8.876112099216373,6.650764912069578,8.239993781761516,6.926411407715191,7.153661571684441,9.082479335157108,4.8609628390212025,8.585198393726014,6.481440850177306,5.110357322529738,8.549603474634766
