,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6
1965-01-01,,,,,,
1965-02-01,,,,,,
1965-03-01,,,,,,
1965-04-01,,,,,,
1965-05-01,,,,,,
1965-06-01,,,,,,
1965-07-01,,,,,,
1965-08-01,,,,,,
1965-09-01,,,,,,
1965-10-01,,,,,,
1965-11-01,,,,,,
1965-12-01,,,,,,
1966-01-01,,,,,,
1966-02-01,,,,,,
1966-03-01,,,,,,
1966-04-01,,,,,,
1966-05-01,,,,,,
1966-06-01,,,,,,
1966-07-01,,,,,,
1966-08-01,,,,,,
1966-09-01,,,,,,
1966-10-01,,,,,,
1966-11-01,,,,,,
1966-12-01,,,,,,
1967-01-01,4.677414692555352,9.115991944058024,8.17068442301837,3.4965353253110054,7.734712291519125,5.743144518785886
1967-02-01,5.3268271201417345,9.041848400677646,8.587600331933714,3.6680822266826665,7.421742259600577,5.44108773285519
1967-03-01,5.734777285914716,9.11693948341036,8.72351403607915,3.9287235672544134,7.279435333714611,4.865248692574619
1967-04-01,5.801838326517148,9.3198468475809,8.672311000213549,4.089644824297972,7.598741563466822,4.543817218722848
1967-05-01,5.793380790455104,9.293524246130035,8.31187493736642,3.8538196716198585,7.861930466621077,4.030325794656089
1967-06-01,5.1863927753429255,9.052165783588071,7.4525547634519045,3.8161278107279997,8.464979379501292,4.5104033843909175
1967-07-01,4.777813996068983,8.757018699966892,6.751606825247973,3.6723648353743066,8.911763529164794,5.849447263025625
1967-08-01,4.249923210270137,8.591466619692701,6.120938342533059,3.8395226249628807,9.157602980713525,7.132240949573071
1967-09-01,4.070588958690951,8.730460072194113,6.208661839384989,3.566532339438929,9.424419500634722,7.566095672707876
1967-10-01,3.979534895169099,8.919103611996169,6.67405185731224,3.417007680994808,9.421945490075641,7.352378059455199
1967-11-01,4.0761605486610675,9.144223295306542,7.169799489014728,3.5802625668091483,9.105221208308256,7.059147051699057
1967-12-01,4.375909783919675,9.22219557586435,7.748883798641027,3.545055963086962,8.487319456346656,6.381742534335002
1968-01-01,4.7655772828080165,9.04197461776192,8.154120343105838,3.378777737080391,7.808488783387183,6.0239651770290115
1968-02-01,5.301633123686382,9.03534360781885,8.578501788718137,3.603886276089914,7.224669642920254,5.751655180245602
1968-03-01,5.7077439229166504,9.01655100520214,8.639518393563161,4.074781003336032,7.1261209281182545,4.637952518424197
1968-04-01,6.153977820958754,9.349075499018596,8.939345190537441,4.0978445082723995,7.556434026131259,4.227077947375095
1968-05-01,5.724772947280881,9.362217262493003,8.520972451892272,3.931892158294298,7.973285728887905,4.228537375632145
1968-06-01,5.405879254495123,9.169291312186996,7.8372912639308625,3.828831314668232,8.451027485741825,4.326615826766347
1968-07-01,4.9294051673593975,8.873259589816128,7.0867367344022725,3.677994368334054,8.887769982716069,5.240545362380826
1968-08-01,4.703757931776464,8.677538702569198,6.555967012293254,3.966421593700639,9.127054610638531,6.980673119119357
