,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12,mslGLB_cluster13,mslGLB_cluster14,mslGLB_cluster15,mslGLB_cluster16,mslGLB_cluster17,mslGLB_cluster18
1980-01-01,142843.9882535461,107668.62980769231,142043.29001168223,115771.8980532787,150380.69966133006,105691.33326124567,151689.27821828358,101897.64444269521,103430.65357257033,109238.34845430107,109847.41369584837,105640.59516059028,134059.24709623895,112675.32623626373,182810.8671171171,140695.8957373272,118323.10661764706,164462.68271169355
1980-02-01,142790.58067375887,107602.87010941644,141998.1746495327,115806.04636270492,150222.69088669954,105777.48432093425,151384.86473880595,101858.29266372796,103399.6193654092,109433.63575268816,110065.5065433213,105748.45920138889,134168.53913163717,112661.52129120879,182773.51492117115,140814.06970046082,118167.75735294117,164154.63079637097
1980-03-01,143091.24002659574,107624.95440981432,141799.62397780374,115756.60476434427,149911.94581280788,105699.51611159169,151073.4608208955,101898.6283847607,103357.42886828644,109674.75218413978,110205.10209837546,105699.59852430556,134591.34056969028,112008.72252747252,183086.66948198195,140314.4225230415,120388.91544117648,164008.17162298388
1980-04-01,143425.50975177306,107721.74444628647,141518.56381425232,115783.20952868853,149674.2072044335,105768.50670415224,150552.979244403,102039.46788413098,103382.12016464194,109568.43918010753,110293.18592057761,105728.15755208334,134895.61324668143,111404.37843406593,182211.08530405402,140233.26252880186,120334.23713235295,164095.703125
1980-05-01,143785.46653368796,107894.37375663129,141330.3847838785,115865.42008196723,149407.57004310345,105886.95393598615,150123.23344216417,102234.93978274558,103488.80774456522,109669.00621639784,110322.30087996389,105677.70182291667,135197.953539823,110993.82726648351,182935.6278153153,140066.6726670507,120433.82352941176,163536.6242439516
1980-06-01,143984.12012411348,108024.962698939,141286.86842873832,115894.5286885246,149185.0754310345,106138.71377595155,149503.7255130597,102353.85508501259,103585.90053548593,110070.91733870967,110259.5385830325,105689.48296440972,135403.74032079647,110655.89800824175,182099.37359234234,140308.75936059907,120598.57536764706,163604.91431451612
1980-07-01,144032.10328014186,108077.29608753316,141302.13200934578,115943.91649590165,148981.8657635468,106132.09342560553,149395.2483675373,102374.17348866498,103613.35617806905,109936.09290994624,110029.68467960288,105555.62879774306,135433.0406526549,110372.0467032967,181622.12134009006,140237.31998847926,120444.7518382353,163855.04662298388
1980-08-01,144119.09906914894,108201.15633289125,141377.175817757,115997.69979508198,149112.5153940887,106193.09850778546,149641.69193097015,102449.67333123425,103631.07916400256,109652.51176075268,110085.39880415163,105471.11002604167,135529.97787610622,110683.1559065934,182887.89414414414,140248.53110599078,120388.00551470589,164160.81149193548
1980-09-01,143899.63984929078,108044.49602122015,141484.87879672897,115973.05455942624,149550.98907019707,106050.61634948096,150324.57439365672,102345.5545497481,103574.03692455242,109720.69472446236,109920.17430054152,105455.63693576389,135094.19247787612,111408.11298076923,182851.94256756754,140476.45809331798,119933.96139705883,164522.78855846776
1980-10-01,143556.60460992908,108056.6789622016,141681.44713785045,115934.23924180328,150028.2327586207,106100.80287629757,150959.27588619402,102285.62067065491,103549.0069533248,109554.43968413978,110154.40828068592,105640.90983072917,134883.31028761063,111905.67479395604,183654.98310810808,140559.14098502306,119972.12316176471,165134.02847782258
