,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,7.019725767323654,10.2943726519521,5.689517339377455,7.175295526679741,4.316708101416833,12.361541795415125,11.240953079901374,9.002417976558762,5.100072062146332,6.670602344679082,7.1015316036844816,7.170534828837773
1967-02-01,7.180234796861196,10.344938622378459,6.296671529486253,7.117839766372038,4.803504020360435,17.14427817185239,11.576545873305855,8.880384919955851,5.8224585099929165,6.792059319698929,7.426684116976932,6.978045541333804
1967-03-01,9.502648066283813,10.239717686700882,7.157998097171659,7.186884423368577,6.6853428970473585,17.733996844303043,11.88098301949826,7.977125564109929,5.863466661121774,7.07118817632951,7.434014974344289,5.710692485625225
1967-04-01,9.533225675650264,10.17175735693527,7.366418757266215,7.396171240386611,7.6819258611463175,15.88329548459247,12.709965821763488,6.606104836824294,5.858394269502437,7.128415623730314,7.268901959569426,6.807472602485543
1967-05-01,11.455728195339214,10.062713705653172,6.776935980017426,7.449786831180164,2.7573824660120985,12.62608163966908,12.86195367473583,5.5411674315103205,5.924886397386446,7.175033191479808,6.994094502658212,4.993027345861897
1967-06-01,10.273385074384137,10.23487276892686,7.074910506435891,7.332143187183562,2.8713035068418398,10.46660588767315,12.542597080400014,4.731935857992325,5.373685830791223,6.924731198817483,6.731174257100316,4.415599555397227
1967-07-01,11.19855199061951,10.490424447535261,5.857540194087732,7.22555304231838,1.9744513544425253,6.7426657481566785,11.854418996350569,9.158539903745247,4.442224470241273,6.7983703722954365,6.391123644951188,4.614789762678115
1967-08-01,10.785578799279598,11.016205083579905,4.944585170604023,7.106618109374189,4.300056908024546,5.401224252985954,10.328711994637665,11.382777087603335,3.7983421592975337,6.418976143056719,6.2542042854730955,6.659889043640534
1967-09-01,9.302180444781252,11.442331714423489,4.910395093006089,7.186115861133334,5.697029779503338,4.922327400262624,10.21466640358345,11.466116047890509,4.206277683629431,6.358107580994729,6.150832160231162,8.5133142299627
