,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,7.15713737035095,2.962818961402665,5.554328040164114,8.048301037165974,4.14855967628664,3.738337128333932,7.3883046998488116,5.260550240417606,0.0,6.326412967770069,3.4285356759483876,5.975669363115607
1967-02-01,7.312217545125975,3.0766730826431816,5.110637806796674,7.958648396391073,5.000736651598694,3.0878155818462014,7.47742252309107,6.291026692224123,0.0,6.622385990753872,2.916461552365009,4.404897854553314
1967-03-01,7.368041265198833,3.9210090879902952,5.850942742864941,8.107147014541352,5.34286369289678,3.887875994408921,7.492378555554141,6.920216028926426,2.891589714487756,6.241237272166102,2.3995524766166247,2.9200381035915632
1967-04-01,8.145504438909638,4.507087239630194,5.76485780822068,8.524084500168088,4.626945224365421,3.421751077850369,7.4089423717520635,6.597938401728673,3.8310219796579763,6.397431906099268,2.943248724923919,0.0
1967-05-01,8.046421389352773,2.7917191075012853,5.539271454508106,8.589913816261513,3.3048921973233005,3.5239029728634375,7.736692822302449,6.352485604114673,0.0,5.928248059817888,3.0775872285252417,0.0
1967-06-01,8.218219726237335,2.685082732828164,6.226713412770768,8.601323814054847,3.458100896252097,3.7848172581938506,8.132264769806557,5.680818349384921,0.0,6.405600598386876,2.8049494295050317,0.0
1967-07-01,7.6203669728136285,0.0,7.441352020783597,8.771367292458384,3.279993345797868,6.488571349937541,8.079476996936005,3.6917916043310117,0.0,6.3923287762122225,2.701965050270723,4.4382658111185584
1967-08-01,6.981466372746632,2.8881824730866725,7.72672982785102,8.389950207128035,5.81238998836125,6.786912488577189,8.326738264898474,2.7245398358852007,0.0,6.586364073143335,4.498971846754819,6.206422682947054
1967-09-01,6.418492836642967,4.455296235197453,7.626772951603717,8.508490728083943,6.429098408251808,6.271548787086461,8.374313845551807,2.875628541103778,0.0,7.175707558856937,4.273027390789994,7.27998971606111
