,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5
1965-01-01,,,,,
1965-02-01,,,,,
1965-03-01,,,,,
1965-04-01,,,,,
1965-05-01,,,,,
1965-06-01,,,,,
1965-07-01,,,,,
1965-08-01,,,,,
1965-09-01,,,,,
1965-10-01,,,,,
1965-11-01,,,,,
1965-12-01,,,,,
1966-01-01,,,,,
1966-02-01,,,,,
1966-03-01,,,,,
1966-04-01,,,,,
1966-05-01,,,,,
1966-06-01,,,,,
1966-07-01,,,,,
1966-08-01,,,,,
1966-09-01,,,,,
1966-10-01,,,,,
1966-11-01,,,,,
1966-12-01,,,,,
1967-01-01,3.419871741376341,8.651833681380008,4.916529676067885,7.718987177093004,8.196188210932641
1967-02-01,3.256267220747123,8.033144528791766,5.780041277389149,7.911143226343428,8.489665739275987
1967-03-01,3.3937817020330776,8.54790849500117,5.971835654293798,7.7686527488449855,8.433921942737909
1967-04-01,3.873049566023264,8.726357105436835,6.215816490008513,7.493801935460042,8.689360574248417
1967-05-01,4.4215534306834785,8.590098489283317,5.821742935628496,6.592493424433604,8.306030100547588
1967-06-01,4.469129664577016,8.761762774685714,5.177978113719317,6.139275443793689,7.701121455986838
1967-07-01,4.126589021416779,7.996409165705639,5.399716340927929,5.034469613991581,6.733446839143382
1967-08-01,3.736056912605691,7.976698262021957,5.220929454768578,5.291037413517588,6.563025815431807
1967-09-01,3.579279611729795,7.945769570153457,4.156029620211597,4.637697356667497,6.5340811384983635
1967-10-01,3.0239972898727223,8.367459911786279,4.295205302839487,5.5462139623522075,7.2411251684003215
1967-11-01,2.939315410122261,8.64481736494893,5.105248165260526,6.127355408223965,7.811959188584755
1967-12-01,2.876841132488784,8.92035973175384,5.257603692490069,6.57323603441922,8.31791386203472
1968-01-01,2.66737208984224,8.289847947915918,4.05652301550286,7.237522724810276,7.875711193391974
1968-02-01,2.6267906808200654,8.02312582556488,4.3198758753709035,7.558115831705102,8.43721773357434
1968-03-01,3.14527206393867,8.62660372457296,5.445019389775977,7.451920085942659,8.631422081249577
1968-04-01,3.7953352682598496,8.926797622114906,5.289419371896696,7.6024327301436365,8.5340986083821
1968-05-01,4.523453886863041,8.897931151157646,5.285267864727601,7.283199910764549,8.099221913220937
1968-06-01,4.4786924152297605,8.71297561793426,5.685368735554747,5.685356632487977,7.327180375632815
1968-07-01,4.854134027236882,8.502367731157808,5.060347024583423,5.513377640873644,6.655186471592554
1968-08-01,4.107320261702898,7.9659573329899285,5.102093455901052,5.0923264170330755,6.8252343517358
1968-09-01,3.3568435983910154,8.219666507382525,4.594314517353504,4.483214841380766,6.657710509973049
1968-10-01,3.6652481813167226,8.649488985326961,4.5863554973561955,5.253149011377674,6.886723264337018
1968-11-01,3.8662420487933464,9.088911761517185,4.16869109380722,6.373307709270272,7.8259463067851955
1968-12-01,2.722303839620636,9.16782789553739,5.856836360568838,7.201120912521633,8.303922687174616
