,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,4.817946838883386,8.822452436418242,8.440312365942884,6.038049464303388,8.907792347917978,6.511585737330859,6.543425749785438,4.624464958352977,8.134068178946803,4.978544981062384,5.648328506396454,5.927580128746633
1967-02-01,4.789166885557297,8.711376826465617,8.348241318841215,5.869037451983649,8.802579511630796,6.395226759428866,5.964867053975546,4.8605222350347494,7.873697156558405,5.241670850114133,5.929170248307951,5.896111147951558
1967-03-01,4.3310374939978,8.840498171200489,7.8262214261602265,5.43328499053763,8.6868806443144,4.9758693593901375,4.58956267842679,3.671374819388104,8.03405213303147,4.314827863993487,5.252326361738852,5.733510500344818
1967-04-01,4.459476338931828,8.982392403404125,7.998029455775997,4.3716058631504096,8.728348712987737,4.4958308658104515,3.178859814318739,3.3050295640071234,8.865115051514756,4.008395557790878,5.632061927817521,6.3427767995335405
1967-05-01,3.4610928984878866,9.024800495562342,8.127714277064138,3.1413900121524563,8.979068654826854,3.215507503543151,0.0,2.9167660058733604,9.100073007656851,3.1515499680773176,6.300705966788044,6.644819502971447
1967-06-01,5.110202731170109,8.936957701070213,8.291352263803955,2.4102103883061012,8.910212588433295,2.435430185861651,3.7971914446490485,2.115695933122461,8.797957156662642,2.3520419209507777,5.926830775233339,7.9590339700476065
1967-07-01,7.225696817649046,9.033372112994355,8.437136514215558,6.279241642790554,8.915247988243205,1.9613546986920847,2.967971593162848,2.5956283450389357,8.59346434661671,5.137457061111681,7.708516407840279,8.296853380062876
1967-08-01,7.589527746998141,9.056462792939797,8.60081382188265,7.064166919261539,8.892372130584624,4.495039932065234,7.096478897627748,3.4503610088770973,8.407181772589652,7.055810083525567,8.24142003195167,7.970195386913882
1967-09-01,8.221875274681306,9.15516688964192,8.465275329249833,7.012460119582162,8.91244977625032,5.284042021133226,7.542970052908171,4.284080887991752,8.586481552920267,7.023343728369975,8.459942683612816,8.221769493895934
