,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8
1965-01-01,,,,,,,,
1965-02-01,,,,,,,,
1965-03-01,,,,,,,,
1965-04-01,,,,,,,,
1965-05-01,,,,,,,,
1965-06-01,,,,,,,,
1965-07-01,,,,,,,,
1965-08-01,,,,,,,,
1965-09-01,,,,,,,,
1965-10-01,,,,,,,,
1965-11-01,,,,,,,,
1965-12-01,,,,,,,,
1966-01-01,,,,,,,,
1966-02-01,,,,,,,,
1966-03-01,,,,,,,,
1966-04-01,,,,,,,,
1966-05-01,,,,,,,,
1966-06-01,,,,,,,,
1966-07-01,,,,,,,,
1966-08-01,,,,,,,,
1966-09-01,,,,,,,,
1966-10-01,,,,,,,,
1966-11-01,,,,,,,,
1966-12-01,,,,,,,,
1967-01-01,3.519767410617719,7.443574713874452,8.962611259407616,5.757269362648739,3.328195431825593,7.1392718347988815,6.451596348661974,2.954944159006328
1967-02-01,3.6756448786590257,7.778248467912125,8.818101676398452,6.617846696453306,3.5822943212727085,7.935595511635231,6.916192345182209,2.843584101088152
1967-03-01,3.7447787559366073,7.72728186324507,8.858089474438756,7.237938751633554,3.2596053826431235,8.148915949700333,7.17178519664884,3.2549229565351894
1967-04-01,3.605590475838893,7.809725877200445,8.952944460079687,7.898630108996903,3.9550693236810996,7.996923211949102,6.789749908727939,2.599392282747159
1967-05-01,5.174795633615093,7.043474763066792,8.829336680727367,7.829768866172535,3.6462756728926466,7.5388272865043175,6.07877456595937,4.764402030373513
1967-06-01,4.477494268391357,6.47666224152519,8.780744733562644,6.451654488011469,3.753072993780339,7.126202473828219,5.696142715123813,3.878088098804162
1967-07-01,4.614822130019915,5.762726524772775,8.589870960781784,6.02659090810103,4.46048739090982,6.340367079582538,5.232951122672024,4.798107902631895
1967-08-01,3.7927977028001583,5.588171317403797,8.562486725431777,5.468294879496381,4.276156402415377,5.967317799109357,5.335362655859035,4.406449880550183
1967-09-01,4.186248893571384,4.8902846195079315,8.774900724469106,4.974943356349293,3.2983760170987004,6.047055233654641,4.5279438960642695,3.4859918343615446
1967-10-01,4.091885078166021,6.003409388121801,8.965673545333694,4.483644567495429,3.2382546843404523,5.990134588101352,4.524299160261524,2.5171056339224696
1967-11-01,3.9868062466572662,6.141863219745009,8.96526609966387,5.466915908633985,3.1344453457831447,6.324129507415759,5.842016601774969,2.953510357333117
1967-12-01,3.529866217769719,6.65296006000835,8.975148690079202,5.869245458156399,2.9245435800102864,6.850969807063494,5.6786621617518405,2.9547050318559185
1968-01-01,2.8488178882716015,6.953860621960298,8.938362539204636,4.430431027547286,3.256781814400649,6.620546314795379,5.8295012175145136,0.0
1968-02-01,2.8672829104058586,7.477386266318186,8.644172068871605,5.1630102550219235,3.3303409267382467,7.348072610008361,6.210097775162033,2.853681887303359
1968-03-01,4.138133341563473,7.117038962717329,8.955917883669677,6.679602808131316,3.6501680618547065,7.310281572501395,6.145407490834017,3.842617050945753
